content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tweet_without_stopwords,wordCount,wordCount_after_stopwords,tweet_stemmed
"parah ini ovo ya scan ke rek orang status berhasil tapi saldo. ya tidak masuk, sudah tidak beres jadi pencuri skrg ovo hati hati buat pengguna ovo",1,0.0,0.0,Negative,"parah ovo ya scan rek orang status berhasil saldo. ya masuk, beres pencuri skrg ovo hati hati pengguna ovo",27,19,parah ovo ya scan rek orang status hasil saldo ya masuk beres curi skrg ovo hati hati guna ovo
hati hati buat pengguna ovo ovo skrg jadi pencuri uang kronologi scan ke org lain status berhasil tapi saldo tidak masuk awas ovo skrg sudah ga beres sudah mulai mencuri saldo pengguna dari ovo,1,0.0,0.0,Negative,hati hati pengguna ovo ovo skrg pencuri uang kronologi scan org status berhasil saldo masuk awas ovo skrg beres mencuri saldo pengguna ovo,34,23,hati hati guna ovo ovo skrg curi uang kronologi scan org status hasil saldo masuk awas ovo skrg beres curi saldo guna ovo
sering update,5,0.0,0.0,Positive,update,2,1,update
di saat d perlukan selalu error 👎🏻👎🏻,2,0.0,0.0,Negative,d perlukan error 👎🏻👎🏻,7,4,d perlu error
ol,4,0.0,0.0,Positive,ol,1,1,ol
ovo saya kok gak bisa dibuka dan error ada apa? kemarin baik2 saja.,5,0.0,0.0,Positive,ovo dibuka error apa? kemarin baik2 saja.,13,7,ovo buka error apa kemarin baik2 saja
ternyata akun ini belum primier . yg akun lama sudah primier tapi gak bisa di buka . luar biasa ribetnya ovo ini,1,0.0,0.0,Negative,akun primier . akun primier buka . ribetnya ovo,22,9,akun primier akun primier buka ribetnya ovo
ovo ches keblokir,1,0.0,0.0,Negative,ovo ches keblokir,3,3,ovo ches blokir
"jangan pakai wallet ini,ribet dan gk worth it buat pengguna satset.apk tolol",1,0.3,0.1,Negative,"pakai wallet ini,ribet gk worth it pengguna satset.apk tolol",12,9,pakai wallet ini ribet gk worth it guna satset apk tolol
oke,4,0.0,0.0,Positive,oke,1,1,oke
bagus,5,0.0,0.0,Positive,bagus,1,1,bagus
"terima kasih min,,ovo is the best 💚👍💪🙏",5,1.0,0.3,Positive,"terima kasih min,,ovo is the best 💚👍💪🙏",7,7,terima kasih min ovo is the best
bayak drama lemot server sering erorr,1,0.0,0.0,Negative,bayak drama lemot server erorr,6,5,bayak drama lot server erorr
ggood,3,0.0,0.0,Neutral,ggood,1,1,ggood
"fitur ubah nomor gak guna, pas masukin nomer baru malah coba lagi mulu, terus aplikasinya lag banget lagi",1,0.0,0.0,Negative,"fitur ubah nomor guna, pas masukin nomer coba mulu, aplikasinya lag banget",18,12,fitur ubah nomor guna pas masukin nomer coba mulu aplikasi lag banget
"admin mahal sekali ya, top up dari bank dan e-wallet lain dg nominal rendah aja admin ttp mahal, kepotongnya pun double, tolong diperbaiki lagi supaya penggunanya lebih senang menggunakan apk ini!",1,0.25,0.25,Negative,"admin mahal ya, top up bank e-wallet dg nominal rendah admin ttp mahal, kepotongnya double, tolong diperbaiki penggunanya senang apk ini!",31,21,admin mahal ya top up bank e-wallet dg nominal rendah admin ttp mahal potong double tolong baik guna senang apk ini
